from_id,time,to_id
0,10min,1
0,10min,5
0,30min,6
1,30min,7
1,40min,8
1,40min,9
1,30min,10
1,20min,11
1,20min,12
2,25min,4
2,25min,13
2,15min,14
3,30min,15
4,20min,16
4,20min,17
4,10min,18
4,10min,19
